Date,novo-Zarazeni,novo-Izleceni,novo-Pocinati
2020-03-06,2,0,0
2020-03-07,0,0,0
2020-03-08,1,0,0
2020-03-09,3,0,0
2020-03-10,0,0,0
2020-03-11,2,0,0
2020-03-12,0,0,0
2020-03-13,4,0,0
2020-03-14,6,0,0
2020-03-15,0,0,0
2020-03-16,5,1,0
2020-03-17,12,0,0
2020-03-18,12,0,0
2020-03-19,19,0,0
2020-03-20,18,0,0
2020-03-21,9,0,0
2020-03-22,20,0,1
2020-03-23,22,0,1
2020-03-24,12,0,0
2020-03-25,29,0,1
2020-03-26,24,2,0
2020-03-27,18,0,0
2020-03-28,22,0,1
2020-03-29,18,0,2
2020-03-30,26,9,1
2020-03-31,44,0,2
2020-04-01,25,5,1
2020-04-02,30,0,1
2020-04-03,46,3,1
2020-04-04,53,0,5
2020-04-05,72,3,1
2020-04-06,15,4,3
2020-04-07,29,3,5
2020-04-08,18,7,3
2020-04-09,46,0,1
2020-04-10,48,4,2
2020-04-11,49,0,2
2020-04-12,68,0,0
2020-04-13,28,3,4
2020-04-14,52,42,6
2020-04-15,66,12,1
2020-04-16,107,23,1
2020-04-17,36,18,3
2020-04-18,53,25,0
2020-04-19,37,15,2
2020-04-20,18,21,3
2020-04-21,6,24,1
2020-04-22,28,48,1
2020-04-23,41,29,0
2020-04-24,26,36,1
2020-04-25,41,37,2
2020-04-26,19,126,2
2020-04-27,13,53,4
2020-04-28,22,36,6
2020-04-29,21,38,2
2020-04-30,23,111,4
2020-05-01,29,69,4
2020-05-02,12,45,1
2020-05-03,5,93,2
2020-05-04,7,47,1
2020-05-05,8,21,1
2020-05-06,13,44,2
2020-05-07,33,22,1
2020-05-08,14,20,1
2020-05-09,36,13,1
2020-05-10,20,24,0
2020-05-11,22,64,0
2020-05-12,10,5,1
